code,codeDotted,billable,category,shortTitle,longTitle
O00521,O00.521,true,O00,Right cornual ectopic pregnancy with intrauterine pregnancy,Right cornual ectopic pregnancy with intrauterine pregnancy
O00522,O00.522,true,O00,Left cornual ectopic pregnancy with intrauterine pregnancy,Left cornual ectopic pregnancy with intrauterine pregnancy
O00529,O00.529,true,O00,Unspecified cornual ectopic pregnancy with uterin pregnancy,Unspecified cornual ectopic pregnancy with intrauterine pregnancy
O314,O31.4,false,O31,Cont preg after vanishing twin syndrome of one fetus or more,Continuing pregnancy after vanishing twin syndrome of one fetus or more
O3140,O31.40,false,O31,"Cont preg aft vanishing twin syn one fts or more, unsp tri","Continuing pregnancy after vanishing twin syndrome of one fetus or more, unspecified trimester"
O3140X0,O31.40X0,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,unsp tri,unsp","Continuing pregnancy after vanishing twin syndrome of one fetus or more, unspecified trimester, not applicable or unspecified"
O3140X1,O31.40X1,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,unsp tri,fts1","Continuing pregnancy after vanishing twin syndrome of one fetus or more, unspecified trimester, fetus 1"
O3140X2,O31.40X2,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,unsp tri,fts2","Continuing pregnancy after vanishing twin syndrome of one fetus or more, unspecified trimester, fetus 2"
O3140X3,O31.40X3,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,unsp tri,fts3","Continuing pregnancy after vanishing twin syndrome of one fetus or more, unspecified trimester, fetus 3"
O3140X4,O31.40X4,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,unsp tri,fts4","Continuing pregnancy after vanishing twin syndrome of one fetus or more, unspecified trimester, fetus 4"
O3140X5,O31.40X5,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,unsp tri,fts5","Continuing pregnancy after vanishing twin syndrome of one fetus or more, unspecified trimester, fetus 5"
O3140X9,O31.40X9,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,unsp tri,oth","Continuing pregnancy after vanishing twin syndrome of one fetus or more, unspecified trimester, other fetus"
O3141,O31.41,false,O31,"Cont preg aft vanishing twin syn of one fts or more, 1st tri","Continuing pregnancy after vanishing twin syndrome of one fetus or more, first trimester"
O3141X0,O31.41X0,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,1st tri,unsp","Continuing pregnancy after vanishing twin syndrome of one fetus or more, first trimester, not applicable or unspecified"
O3141X1,O31.41X1,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,1st tri,fts1","Continuing pregnancy after vanishing twin syndrome of one fetus or more, first trimester, fetus 1"
O3141X2,O31.41X2,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,1st tri,fts2","Continuing pregnancy after vanishing twin syndrome of one fetus or more, first trimester, fetus 2"
O3141X3,O31.41X3,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,1st tri,fts3","Continuing pregnancy after vanishing twin syndrome of one fetus or more, first trimester, fetus 3"
O3141X4,O31.41X4,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,1st tri,fts4","Continuing pregnancy after vanishing twin syndrome of one fetus or more, first trimester, fetus 4"
O3141X5,O31.41X5,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,1st tri,fts5","Continuing pregnancy after vanishing twin syndrome of one fetus or more, first trimester, fetus 5"
O3141X9,O31.41X9,true,O31,"Cont preg aft vanishing twin syn 1 fts or more, 1st tri, oth","Continuing pregnancy after vanishing twin syndrome of one fetus or more, first trimester, other fetus"
O3142,O31.42,false,O31,"Cont preg aft vanishing twin syn of one fts or more, 2nd tri","Continuing pregnancy after vanishing twin syndrome of one fetus or more, second trimester"
O3142X0,O31.42X0,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,2nd tri,unsp","Continuing pregnancy after vanishing twin syndrome of one fetus or more, second trimester, not applicable or unspecified"
O3142X1,O31.42X1,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,2nd tri,fts1","Continuing pregnancy after vanishing twin syndrome of one fetus or more, second trimester, fetus 1"
O3142X2,O31.42X2,true,O31,"Cont preg aft vanishing twin syn 1 fts or more,2nd tri,fts2","Continuing pregnancy after vanishing twin syndrome of one fetus or more, second trimester, fetus 2"
